# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "GCF_000203835.1_ASM20383v1_genomic_combined.gtf" "-s" "2" "-O" "-M" "--fraction" "-t" "transcript" "-g" "locus_tag" "--extraAttributes" "gene_name" "-o" "counts.txt" "--minOverlap" "10" "--fracOverlap" "0.9" "QSC18022AV_20220218090211__M512cpz_Tube_1_2d_S4_R1_001.sorted.bam" "QSC18034AK_20220218090211__M512lpm_Tube_1_4d_S16_R1_001.sorted.bam" "QSC18021AN_20220218090211__M512_Tube_3_2d_S3_R1_001.sorted.bam" "QSC18030AM_20220218090211__M512_Tube_3_4d_S12_R1_001.sorted.bam" "QSC18026AT_20220218090211__M512lpm_Tube_2_2d_S8_R1_001.sorted.bam" "QSC18024AD_20220218090211__M512cpz_Tube_3_2d_S6_R1_001.sorted.bam" "QSC18023A5_20220218090211__M512cpz_Tube_2_2d_S5_R1_001.sorted.bam" "QSC18036A2_20220218090212__M512lpm_Tube_3_4d_S18_R1_001.sorted.bam" "QSC18028AB_20220218090211__M512_Tube_1_4d_S10_R1_001.sorted.bam" "QSC18033AC_20220218090211__M512cpz_Tube_3_4d_S15_R1_001.sorted.bam" "QSC18019AC_20220218090011__M512_Tube_1_2d_S1_R1_001.sorted.bam" "QSC18029AJ_20220218090211__M512_Tube_2_4d_S11_R1_001.sorted.bam" "QSC18032A4_20220218090211__M512cpz_Tube_2_4d_S14_R1_001.sorted.bam" "QSC18031AU_20220218090211__M512cpz_Tube_1_4d_S13_R1_001.sorted.bam" "QSC18020AF_20220218090012__M512_Tube_2_2d_S2_R1_001.sorted.bam" "QSC18025AL_20220218090211__M512lpm_Tube_1_2d_S7_R1_001.sorted.bam" "QSC18027A3_20220218090211__M512lpm_Tube_3_2d_S9_R1_001.sorted.bam" "QSC18035AS_20220218090211__M512lpm_Tube_2_4d_S17_R1_001.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	gene_name	QSC18022AV_20220218090211__M512cpz_Tube_1_2d_S4_R1_001.sorted.bam	QSC18034AK_20220218090211__M512lpm_Tube_1_4d_S16_R1_001.sorted.bam	QSC18021AN_20220218090211__M512_Tube_3_2d_S3_R1_001.sorted.bam	QSC18030AM_20220218090211__M512_Tube_3_4d_S12_R1_001.sorted.bam	QSC18026AT_20220218090211__M512lpm_Tube_2_2d_S8_R1_001.sorted.bam	QSC18024AD_20220218090211__M512cpz_Tube_3_2d_S6_R1_001.sorted.bam	QSC18023A5_20220218090211__M512cpz_Tube_2_2d_S5_R1_001.sorted.bam	QSC18036A2_20220218090212__M512lpm_Tube_3_4d_S18_R1_001.sorted.bam	QSC18028AB_20220218090211__M512_Tube_1_4d_S10_R1_001.sorted.bam	QSC18033AC_20220218090211__M512cpz_Tube_3_4d_S15_R1_001.sorted.bam	QSC18019AC_20220218090011__M512_Tube_1_2d_S1_R1_001.sorted.bam	QSC18029AJ_20220218090211__M512_Tube_2_4d_S11_R1_001.sorted.bam	QSC18032A4_20220218090211__M512cpz_Tube_2_4d_S14_R1_001.sorted.bam	QSC18031AU_20220218090211__M512cpz_Tube_1_4d_S13_R1_001.sorted.bam	QSC18020AF_20220218090012__M512_Tube_2_2d_S2_R1_001.sorted.bam	QSC18025AL_20220218090211__M512lpm_Tube_1_2d_S7_R1_001.sorted.bam	QSC18027A3_20220218090211__M512lpm_Tube_3_2d_S9_R1_001.sorted.bam	QSC18035AS_20220218090211__M512lpm_Tube_2_4d_S17_R1_001.sorted.bam
SCO0840	NC_003888.3	888194	888700	-	507	NA	12	7	20	1	1	14	3	10	7	4	6	1	24	3	0	16	3	3
SCO0841	NC_003888.3	888805	890367	+	1563	NA	2	2	11	0	0	1	3	3	0	5	2	0	14	7	0	1	0	1
SCO0842	NC_003888.3	890835	892211	+	1377	NA	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
SCO0843	NC_003888.3	892238	892672	-	435	NA	6	2	11	1	0	6	4	2	4	1	5	0	13	0	0	12	4	1
SCO0844	NC_003888.3	892665	893006	-	342	NA	5	0	5	7	1	0	0	8	2	5	2	1	4	3	1	12	2	0
SCO0845	NC_003888.3	893013	893279	-	267	NA	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
SCO0846	NC_003888.3	893386	894186	+	801	NA	46	52	55	15	6	27	19	52	35	54	26	10	64	49	2	66	11	6
SCO0847	NC_003888.3	894244	894702	-	459	NA	22	32	51	6	16	29	14	31	7	21	30	4	48	30	2	80	29	3
SCO0848	NC_003888.3	894818	895819	-	1002	NA	23	42	52	9	8	29	3	21	15	26	12	6	25	21	3	31	18	0
SCO0849	NC_003888.3	895829	896353	-	525	NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SCO0850	NC_003888.3	896543	896968	+	426	NA	4	13	17	8	7	14	4	7	8	17	13	4	16	7	3	24	8	0
SCO0851	NC_003888.3	896973	898037	-	1065	NA	24	20	26	5	3	19	8	18	13	19	14	10	36	17	0	20	6	0
SCO0852	NC_003888.3	898034	898666	-	633	NA	29	59	58	14	7	37	11	54	24	40	23	2	71	33	0	42	30	3
SCO0853	NC_003888.3	898895	899293	+	399	NA	2	9	12	1	2	7	0	2	2	2	0	0	9	3	1	3	1	0
SCO0854	NC_003888.3	899538	902129	+	2592	NA	11	12	21	5	4	24	8	19	9	36	12	23	59	34	0	32	12	3
SCO0855	NC_003888.3	902174	902680	-	507	NA	14	22	42	15	5	17	4	15	11	19	9	7	41	18	3	38	10	4
SCO0856	NC_003888.3	902743	903969	-	1227	NA	0	0	7	0	0	2	0	1	2	3	0	1	1	0	0	6	0	0
SCO0857	NC_003888.3	904109	904747	+	639	NA	31	41	22	13	10	48	8	32	17	29	23	14	35	41	3	55	7	0
SCO0858	NC_003888.3	905000	905377	-	378	NA	74	117	110	36	30	59	43	191	54	102	109	42	183	118	15	167	89	40
SCO0859	NC_003888.3	905546	906055	-	510	NA	3	25	12	0	0	11	2	33	5	8	16	5	13	8	0	26	6	3
SCO0860	NC_003888.3	906052	908340	-	2289	NA	24	101	48	4	9	13	9	74	36	15	90	21	50	24	0	132	20	5
SCO0861	NC_003888.3	908340	908549	-	210	NA	2	27	5	1	0	5	1	23	5	3	18	6	6	3	0	32	3	1
SCO0862	NC_003888.3	908813	909472	-	660	NA	4	32	10	1	4	10	1	10	13	2	17	4	9	5	0	25	5	0
SCO0863	NC_003888.3	909469	910926	-	1458	NA	22	170	70	13	5	28	13	147	50	36	135	36	67	26	0	202	53	7
SCO0864	NC_003888.3	911343	911939	-	597	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SCO0865	NC_003888.3	912092	912862	-	771	NA	5	14	10	0	0	12	2	12	6	13	4	6	22	10	2	10	3	0
SCO0866	NC_003888.3	912931	913572	-	642	NA	3	10	2	1	2	0	2	7	4	0	8	1	2	1	0	16	6	0
SCO0867	NC_003888.3	913768	914472	-	705	NA	52	87	94	18	8	54	25	92	32	27	82	24	51	52	3	245	37	6
SCO0868	NC_003888.3	914827	915270	-	444	NA	10	8	13	11	8	9	1	4	6	6	16	1	16	7	2	45	22	0
SCO0869	NC_003888.3	915341	915715	-	375	NA	52	33	63	6	19	47	24	48	39	33	47	6	40	20	1	108	36	17
SCO0870	NC_003888.3	916336	916785	-	450	NA	40	9	74	17	24	92	45	56	11	31	108	22	54	14	12	235	128	8
SCO0871	NC_003888.3	916782	918377	-	1596	NA	96	69	215	39	61	149	84	136	52	61	256	38	133	60	27	429	200	15
SCO0872	NC_003888.3	918438	919775	-	1338	NA	83	142	272	46	49	66	53	149	41	55	139	26	179	76	9	251	99	23
SCO0873	NC_003888.3	919901	920182	-	282	NA	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
SCO0874	NC_003888.3	920727	921419	-	693	NA	0	3	7	4	3	5	1	5	3	12	5	2	11	3	2	15	3	0
SCO0875	NC_003888.3	921420	921755	-	336	NA	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0
SCO0876	NC_003888.3	921927	922175	-	249	NA	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SCO0877	NC_003888.3	922247	924913	+	2667	NA	56	68	93	32	21	84	25	66	49	76	54	25	105	88	3	147	41	6
SCO0878	NC_003888.3	924917	925795	+	879	NA	39	51	77	23	16	65	34	71	31	66	34	9	61	63	4	103	24	15
SCO0880	NC_003888.3	926916	927332	+	417	NA	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO0881	NC_003888.3	927534	928499	-	966	NA	35	31	56	18	11	75	28	37	20	54	78	6	44	56	3	175	42	6
SCO0882	NC_003888.3	928670	929017	+	348	NA	1	0	0	0	1	0	1	0	0	0	1	0	7	0	0	4	0	0
SCO0883	NC_003888.3	929061	929717	+	657	def	4	5	8	2	2	3	3	15	2	11	0	2	29	6	0	6	2	0
SCO0884	NC_003888.3	929779	931212	-	1434	NA	33	41	38	13	5	38	36	38	12	60	45	13	61	34	3	89	23	5
SCO0885	NC_003888.3	931333	931737	+	405	NA	72	69	127	50	12	51	36	84	43	119	106	22	167	88	5	198	58	27
SCO0886	NC_003888.3	931757	932791	-	1035	NA	16	9	26	4	5	23	16	9	10	17	12	2	32	9	0	47	17	4
SCO0887	NC_003888.3	932864	933568	-	705	NA	5	3	6	8	0	12	5	11	1	13	5	5	14	3	1	21	1	1
SCO0888	NC_003888.3	933708	934271	+	564	NA	61	11	39	24	10	43	21	35	19	60	19	8	104	48	6	73	20	3
SCO0889	NC_003888.3	934332	935237	-	906	NA	9	19	30	6	6	15	5	10	8	22	9	7	28	9	1	27	14	0
SCO0890	NC_003888.3	935622	936329	-	708	NA	0	0	0	0	0	0	0	1	0	2	0	0	4	0	0	0	0	0
SCO0891	NC_003888.3	936431	937270	+	840	NA	1	5	0	1	0	2	1	4	0	4	2	3	0	3	0	2	1	0
SCO0892	NC_003888.3	937290	938240	-	951	NA	5	6	5	0	2	6	4	14	3	0	5	0	7	2	0	17	8	0
SCO0893	NC_003888.3	938389	939612	+	1224	NA	0	5	3	0	0	2	0	2	0	1	1	1	2	0	0	0	0	0
SCO0894	NC_003888.3	939627	941063	+	1437	NA	0	0	0	0	1	0	2	1	0	5	1	0	3	0	0	1	1	0
SCO0895	NC_003888.3	941071	942090	-	1020	NA	2	3	0	3	0	5	0	4	0	0	0	0	0	1	0	5	1	0
SCO0896	NC_003888.3	942453	942878	-	426	NA	3	0	1	0	0	4	1	6	0	0	0	0	4	3	0	10	1	0
SCO0897	NC_003888.3	942974	943567	-	594	NA	10	4	3	1	2	15	0	4	3	15	10	1	15	3	1	8	2	0
SCO0898	NC_003888.3	943851	945833	-	1983	NA	4	2	1	0	0	3	3	4	5	4	0	2	13	1	0	8	1	0
SCO0899	NC_003888.3	946045	946941	+	897	NA	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	2	1	0
SCO0900	NC_003888.3	947027	948310	+	1284	NA	2	0	5	0	0	2	1	7	2	1	2	2	4	1	1	3	0	0
SCO0901	NC_003888.3	948674	949762	-	1089	NA	58	65	125	51	36	59	37	120	75	120	60	42	122	75	7	210	67	2
SCO0902	NC_003888.3	949864	950292	-	429	NA	463	551	968	316	274	546	267	941	439	369	846	199	547	306	53	2126	654	81
SCO0903	NC_003888.3	950551	950811	+	261	NA	0	1	2	1	0	1	0	1	0	0	1	0	4	0	0	1	0	0
SCO0904	NC_003888.3	950823	951122	+	300	NA	0	1	0	0	0	0	0	0	0	0	3	0	2	0	0	3	2	0
SCO0905	NC_003888.3	951217	951522	+	306	NA	1	5	4	2	1	5	1	1	0	0	3	1	6	0	1	1	0	0
SCO0906	NC_003888.3	951452	951949	-	498	NA	51	36	65	30	9	88	23	77	17	60	65	16	66	66	7	228	72	3
SCO0907	NC_003888.3	951968	952858	-	891	NA	8	11	21	6	2	12	2	11	2	15	12	3	5	20	1	16	4	0
SCO0908	NC_003888.3	952991	953455	+	465	NA	29	14	19	10	1	9	6	23	14	29	11	11	46	16	3	35	15	0
SCO0909	NC_003888.3	953440	954429	-	990	NA	19	30	55	22	6	74	21	57	29	152	14	26	173	88	7	31	18	4
SCO0910	NC_003888.3	954566	955867	+	1302	NA	112	63	123	17	9	277	56	61	43	179	105	29	168	104	10	549	81	15
SCO0911	NC_003888.3	955864	957204	+	1341	NA	25	22	47	6	6	56	14	15	4	49	54	10	36	40	5	184	26	4
SCO0912	NC_003888.3	957204	958019	+	816	NA	7	10	19	2	5	36	11	10	5	10	45	4	11	17	3	91	11	0
SCO0913	NC_003888.3	958016	958987	+	972	NA	38	28	32	4	10	60	20	30	10	20	69	9	52	49	3	234	37	2
SCO0914	NC_003888.3	959024	960292	-	1269	NA	7	2	1	3	1	0	2	7	1	3	3	10	5	3	2	13	6	1
SCO0915	NC_003888.3	960501	960758	+	258	NA	0	7	1	3	3	6	1	5	1	0	5	3	6	2	0	6	0	0
SCO0916	NC_003888.3	960792	961283	-	492	NA	26	3	28	14	6	11	14	22	3	7	17	5	22	23	1	31	6	3
SCO0917	NC_003888.3	961534	962553	+	1020	NA	12	5	18	1	1	9	9	3	7	17	4	3	17	13	1	25	1	1
SCO0918	NC_003888.3	962596	964941	+	2346	NA	64	57	79	32	15	49	37	50	26	49	47	17	174	40	5	131	44	12
SCO0919	NC_003888.3	964984	965943	-	960	NA	238	313	196	89	55	331	150	543	196	248	724	100	357	242	7	2286	314	29
SCO0920	NC_003888.3	966016	966843	-	828	NA	24	47	50	13	2	38	12	62	29	45	59	27	55	35	2	194	21	2
SCO0921	NC_003888.3	966843	967613	-	771	NA	58	125	72	35	20	265	66	252	84	142	438	63	211	104	7	1416	184	6
SCO0922	NC_003888.3	967895	968641	-	747	NA	7	6	4	2	0	7	8	2	2	5	17	0	33	2	0	19	5	5
SCO0923	NC_003888.3	968638	970587	-	1950	sdhA	33	18	27	9	0	21	19	18	7	18	38	3	113	14	0	64	17	12
SCO0924	NC_003888.3	970589	971320	-	732	NA	16	11	12	2	2	20	21	7	4	7	21	0	94	14	0	15	8	2
SCO0925	NC_003888.3	971392	972276	+	885	NA	5	5	25	7	2	10	0	4	2	12	5	2	15	6	2	12	1	3
SCO0926	NC_003888.3	972311	973210	-	900	NA	3	1	7	0	1	3	0	3	2	13	3	0	7	8	0	7	1	0
SCO0927	NC_003888.3	973388	974224	+	837	NA	13	30	45	13	6	25	4	33	18	26	18	17	41	19	2	46	1	5
SCO0928	NC_003888.3	974312	976456	-	2145	NA	471	417	733	217	126	794	257	473	283	566	530	172	638	455	31	1345	357	63
SCO0929	NC_003888.3	976453	977265	-	813	NA	661	584	1212	318	210	870	415	695	324	667	774	188	854	679	67	1963	556	85
SCO0930	NC_003888.3	977491	978444	-	954	NA	723	1129	2280	480	233	2239	425	1053	542	1290	1242	656	3703	1180	67	3470	846	75
SCO0931	NC_003888.3	978713	979324	+	612	NA	0	1	0	0	0	0	2	3	0	0	0	0	2	0	0	3	2	0
SCO0932	NC_003888.3	979340	980104	+	765	NA	9	39	44	22	10	7	9	46	18	5	13	10	18	21	0	75	15	0
SCO0933	NC_003888.3	980316	980834	+	519	NA	0	6	2	2	1	0	0	2	0	0	2	0	3	0	0	2	1	0
SCO0934	NC_003888.3	980917	981558	-	642	NA	1	2	4	5	0	2	1	2	0	13	3	1	1	0	0	9	1	0
SCO0935	NC_003888.3	981742	982407	+	666	NA	1	11	4	1	2	2	1	1	0	3	1	3	3	0	0	2	3	0
SCO0936	NC_003888.3	982439	983044	-	606	NA	0	0	4	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0
SCO0937	NC_003888.3	983389	983850	+	462	NA	27	35	55	32	10	40	10	66	23	76	38	12	114	25	5	65	34	5
SCO0938	NC_003888.3	983971	985377	+	1407	NA	14	27	83	9	21	33	16	37	23	23	84	12	50	19	6	146	29	13
SCO0939	NC_003888.3	985374	986237	-	864	NA	3	3	17	3	2	8	4	4	4	6	9	1	21	3	0	39	6	0
SCO0940	NC_003888.3	986247	986720	+	474	NA	1	0	4	0	2	6	0	4	2	8	4	1	13	5	0	9	3	0
SCO0941	NC_003888.3	986722	987876	-	1155	NA	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0
SCO0942	NC_003888.3	988130	988684	+	555	NA	8	1	10	1	0	3	0	3	2	6	3	5	4	5	0	7	1	0
SCO0943	NC_003888.3	988826	989341	+	516	NA	207	345	493	111	72	341	91	334	175	418	239	135	547	278	11	389	168	28
SCO0944	NC_003888.3	989560	990210	+	651	NA	302	554	1228	191	93	778	132	382	187	476	219	146	1361	405	19	875	234	50
SCO0945	NC_003888.3	990249	991112	-	864	NA	11	15	13	2	1	13	9	11	6	19	10	3	22	11	2	45	9	0
SCO0946	NC_003888.3	991153	993243	-	2091	NA	27	19	20	2	8	34	12	27	3	40	19	13	41	30	1	50	16	6
SCO0947	NC_003888.3	993366	994778	+	1413	NA	1	0	6	0	1	0	2	0	5	12	6	2	5	4	0	12	5	1
SCO0948	NC_003888.3	994798	997821	-	3024	NA	7	4	13	2	0	19	11	17	11	12	48	2	14	9	0	73	13	2
SCO0949	NC_003888.3	997963	999210	-	1248	NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
SCO0950	NC_003888.3	999242	1000162	-	921	NA	0	2	2	0	2	0	0	2	0	0	2	1	0	0	0	11	0	0
SCO0951	NC_003888.3	1000159	1001091	-	933	NA	0	1	2	0	0	0	1	1	3	2	0	0	0	9	0	4	0	0
SCO0952	NC_003888.3	1001098	1002390	-	1293	NA	6	1	5	2	2	3	0	7	6	3	4	2	5	3	0	20	4	0
SCO0953	NC_003888.3	1002624	1003673	+	1050	NA	2	2	0	0	0	1	0	4	0	1	0	0	11	3	0	4	0	0
SCO0954	NC_003888.3	1003996	1004478	-	483	NA	18	7	16	2	3	27	2	9	6	10	18	6	26	3	0	36	16	0
SCO0955	NC_003888.3	1004534	1004710	-	177	NA	0	0	1	0	1	5	0	1	0	3	1	0	0	0	0	0	1	0
SCO0956	NC_003888.3	1005186	1005641	+	456	NA	20	18	33	4	5	19	13	34	15	25	13	10	29	24	0	55	14	2
SCO0957	NC_003888.3	1005700	1007202	-	1503	NA	120	119	217	42	41	189	79	152	76	121	168	63	278	111	10	311	126	27
SCO0958	NC_003888.3	1007306	1008646	-	1341	NA	10	10	25	9	5	50	11	37	16	15	28	4	58	25	2	85	20	3
SCO0959	NC_003888.3	1008835	1011153	-	2319	NA	2	1	5	2	0	3	0	1	5	4	13	2	3	1	0	15	7	0
SCO0960	NC_003888.3	1011212	1013830	-	2619	NA	5	0	13	2	3	9	3	8	0	5	2	0	5	1	2	13	1	0
SCO0961	NC_003888.3	1014030	1015250	-	1221	glgC	20	18	21	4	3	19	16	28	20	17	70	11	26	29	1	171	49	5
SCO0962	NC_003888.3	1015300	1016463	-	1164	NA	9	1	22	7	3	23	6	13	6	11	24	4	32	13	0	63	14	1
SCO0963	NC_003888.3	1016501	1017394	-	894	NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
SCO0964	NC_003888.3	1017707	1018138	-	432	NA	1	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0
SCO0965	NC_003888.3	1018179	1018838	-	660	NA	2	4	2	1	0	6	0	3	8	6	3	0	0	0	0	4	2	0
SCO0966	NC_003888.3	1018944	1019903	-	960	NA	2	0	1	1	4	2	0	7	0	4	2	6	10	2	0	7	2	0
SCO0967	NC_003888.3	1019971	1020594	-	624	NA	7	6	22	7	3	19	7	15	3	10	8	0	17	9	2	31	5	4
SCO0968	NC_003888.3	1020695	1021237	-	543	NA	2	4	12	1	0	1	0	10	3	2	1	3	8	1	0	17	6	0
SCO0969	NC_003888.3	1021386	1022009	-	624	NA	4	3	6	3	0	2	3	0	2	4	5	3	10	5	0	11	4	3
SCO0970	NC_003888.3	1022079	1022813	-	735	NA	10	10	11	9	5	15	6	13	5	10	18	3	18	12	0	26	9	1
SCO0971	NC_003888.3	1023053	1023964	+	912	NA	127	265	285	90	45	184	90	250	82	203	165	91	380	192	21	472	128	34
SCO0972	NC_003888.3	1024039	1024383	+	345	NA	10	11	8	15	8	17	11	26	9	11	14	8	22	4	2	46	19	2
SCO0973	NC_003888.3	1024508	1025767	+	1260	NA	172	114	112	31	32	210	114	102	55	292	76	38	442	258	11	196	45	37
SCO0974	NC_003888.3	1025757	1027076	-	1320	NA	107	97	109	35	15	112	58	117	35	120	96	60	187	133	5	295	48	9
SCO0975	NC_003888.3	1027393	1028832	+	1440	NA	126	125	181	61	46	150	84	166	61	135	146	57	211	161	11	386	101	35
SCO0976	NC_003888.3	1028822	1029955	-	1134	NA	24	17	34	13	7	23	8	23	18	26	25	16	37	36	0	62	19	4
SCO0977	NC_003888.3	1029991	1030341	-	351	NA	33	22	24	7	6	24	7	13	5	21	23	6	41	26	0	35	13	1
SCO0978	NC_003888.3	1030387	1030806	-	420	NA	31	46	52	26	11	39	20	35	23	53	52	13	80	29	2	63	21	10
SCO0979	NC_003888.3	1031136	1031372	-	237	NA	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
SCO0980	NC_003888.3	1031600	1031956	+	357	NA	5	1	0	0	0	0	0	3	1	7	2	0	2	2	0	1	0	0
SCO0981	NC_003888.3	1031976	1033445	-	1470	NA	36	25	55	14	13	34	12	50	10	32	36	17	57	19	1	88	21	3
SCO0982	NC_003888.3	1033827	1035107	+	1281	NA	7	1	7	0	1	0	2	3	1	6	3	1	6	5	0	7	2	0
SCO0983	NC_003888.3	1035208	1036800	+	1593	NA	1	0	0	0	0	8	2	2	0	0	1	1	1	0	0	6	2	0
SCO0984	NC_003888.3	1036797	1037666	+	870	NA	0	0	0	0	0	4	1	2	0	0	0	1	0	1	0	2	0	0
SCO0985	NC_003888.3	1038243	1040561	+	2319	NA	1	11	19	1	0	19	1	16	4	13	38	2	50	6	0	64	9	2
SCO0986	NC_003888.3	1040764	1041465	+	702	NA	36	38	95	18	14	65	19	39	39	45	23	32	132	41	9	114	16	2
SCO0987	NC_003888.3	1041692	1043245	+	1554	NA	16	3	30	0	1	9	0	15	3	12	7	12	24	5	2	16	2	2
SCO0988	NC_003888.3	1043277	1043969	+	693	NA	1	7	1	0	0	5	0	0	0	0	3	0	35	4	0	11	0	0
SCO0989	NC_003888.3	1043990	1044394	-	405	NA	19	26	37	2	2	8	5	27	7	12	24	9	63	25	2	40	10	2
SCO0990	NC_003888.3	1044679	1045668	-	990	NA	241	240	377	91	35	440	127	227	85	468	254	93	536	287	22	831	183	23
SCO0991	NC_003888.3	1046251	1047114	+	864	NA	67	221	170	24	18	293	36	134	42	152	356	30	486	92	5	970	71	12
SCO0992	NC_003888.3	1047111	1048133	+	1023	NA	12	68	52	8	2	177	8	47	12	28	425	5	228	20	0	1023	50	0
SCO0993	NC_003888.3	1048130	1049368	+	1239	NA	26	95	94	8	3	214	14	49	11	38	248	14	241	38	2	674	41	2
SCO0994	NC_003888.3	1049361	1050626	+	1266	NA	15	53	52	7	0	116	5	40	6	16	115	10	193	7	0	354	21	1
SCO0995	NC_003888.3	1050595	1051344	+	750	NA	16	43	46	5	8	135	9	54	14	23	201	10	118	15	2	487	42	1
SCO0996	NC_003888.3	1051613	1052656	+	1044	NA	25	60	98	17	14	108	24	83	11	28	169	8	177	45	5	445	54	2
SCO0997	NC_003888.3	1052653	1053768	+	1116	NA	15	46	55	4	6	61	10	34	8	9	122	4	95	24	3	239	44	3
SCO0998	NC_003888.3	1053765	1054583	+	819	NA	12	50	45	2	2	36	12	43	7	10	91	5	72	17	3	250	23	1
SCO0999	NC_003888.3	1054754	1055401	-	648	NA	192	528	117	14	43	1309	157	1050	69	191	1171	40	4002	459	16	1129	111	24
SCO1000	NC_003888.3	1055883	1056995	-	1113	NA	46	76	122	31	22	46	41	167	58	65	102	30	181	72	8	189	86	21
SCO1001	NC_003888.3	1057387	1057749	+	363	NA	0	3	0	0	0	3	0	1	0	5	7	0	4	0	0	16	2	0
SCO1002	NC_003888.3	1057892	1058278	-	387	NA	6	4	0	4	1	6	5	12	6	1	4	5	8	2	0	12	8	0
SCO1003	NC_003888.3	1058377	1058961	+	585	NA	91	86	230	40	14	56	37	69	36	51	57	21	176	41	11	162	38	15
SCO1004	NC_003888.3	1059073	1059873	-	801	NA	42	25	71	12	12	39	25	46	34	53	49	8	40	54	0	199	42	3
SCO1005	NC_003888.3	1060181	1061398	+	1218	NA	10.58	12.58	19.58	4.75	6	18.25	6.58	12.83	4.50	5	27.58	5.67	29	13.50	1.25	80.08	22.25	0.25
SCO1006	NC_003888.3	1061415	1061552	-	138	NA	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0
SCO1007	NC_003888.3	1061871	1063013	-	1143	NA	1	1	3	0	0	2	2	4	2	7	2	0	3	0	0	12	4	0
SCO1008	NC_003888.3	1063185	1063520	+	336	NA	118	113	160	46	34	156	65	205	68	131	179	63	258	136	13	556	173	23
SCO1009	NC_003888.3	1063535	1064155	-	621	NA	0	2	0	0	0	0	0	0	1	0	2	1	3	0	0	2	3	0
SCO1010	NC_003888.3	1064858	1066294	+	1437	NA	3	2	18	4	2	6	0	3	1	3	8	0	6	4	0	10	6	2
SCO1011	NC_003888.3	1066337	1068241	-	1905	NA	21	13	41	4	3	25	14	30	14	33	20	6	24	23	1	57	11	1
SCO1012	NC_003888.3	1068298	1069098	-	801	NA	17	22	16	8	4	32	19	47	17	35	21	9	67	32	0	97	17	2
SCO1013	NC_003888.3	1069154	1069633	-	480	NA	286	305	460	139	72	417	157	499	182	326	355	135	526	341	36	1095	286	74
SCO1014	NC_003888.3	1069702	1071315	-	1614	NA	43	41	36	24	8	34	13	21	17	31	30	16	89	33	0	71	22	1
SCO1015	NC_003888.3	1071312	1071656	-	345	NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SCO1016	NC_003888.3	1071720	1072544	-	825	NA	3	15	3	3	3	4	3	7	5	10	4	3	15	11	0	15	2	0
SCO1017	NC_003888.3	1072677	1073219	-	543	NA	146	198	246	99	48	190	85	194	136	169	189	72	290	200	11	756	167	12
SCO1018	NC_003888.3	1073299	1074141	-	843	NA	39	21	80	10	8	32	12	23	18	26	17	5	31	11	2	34	15	2
SCO1019	NC_003888.3	1074142	1075377	+	1236	NA	29	29	56	11	4	28	18	40	8	16	29	14	23	25	2	55	12	2
SCO1020	NC_003888.3	1075397	1076719	-	1323	NA	61	42	110	11	19	79	28	51	20	64	64	17	92	50	7	126	55	7
SCO1021	NC_003888.3	1077009	1077458	+	450	NA	35	20	42	13	9	73	24	43	18	55	43	8	69	34	2	110	46	4
SCO1022	NC_003888.3	1077501	1078328	+	828	NA	257	207	543	103	58	237	86	182	121	249	161	40	226	235	22	511	133	38
SCO1023	NC_003888.3	1078574	1079182	+	609	NA	131	211	229	69	38	234	85	238	125	303	232	102	620	228	8	585	142	23
SCO1024	NC_003888.3	1079228	1081729	+	2502	NA	270	462	628	152	138	408	147	571	226	320	447	164	633	333	41	1009	293	45
SCO1025	NC_003888.3	1081780	1084137	-	2358	NA	49	74	126	44	13	92	24	87	43	81	73	28	66	84	2	179	49	7
SCO1026	NC_003888.3	1084395	1085219	+	825	NA	41	45	48	11	8	27	5	46	17	25	21	5	53	28	3	36	19	9
SCO1027	NC_003888.3	1085351	1085824	+	474	NA	3	7	7	1	2	6	2	8	4	3	9	0	12	3	0	14	6	0
SCO1028	NC_003888.3	1085859	1086983	-	1125	NA	14	9	50	10	15	17	11	20	10	12	46	6	23	4	8	78	37	1
SCO1029	NC_003888.3	1087360	1087587	+	228	NA	23	54	93	21	9	47	14	73	35	29	93	17	63	39	3	276	65	5
